table[0]:  3 1
table[1]: enfetter'd 0 1
table[2]: atherton 1 1
table[4]: whate'er 25 1
table[8]: cried 89 1
table[11]: mansfield 4 1
table[12]: indispensable 6 4
table[16]: episode 4 1
table[17]: lin'd 4 1
table[19]: scratching 3 1
table[21]: cups 8 1
table[22]: crier 6 1
table[23]: cries 64 1
table[24]: salhn 0 1
table[27]: 'element' 0 2
table[28]: aerated 6 3
table[29]: feuds 4 1
table[34]: landsmen 2 2
table[36]: diedst 0 1
table[37]: infused 3 1
table[38]: coact 0 3
table[39]: hypertrophy 1 1
table[40]: successes 10 2
table[42]: reproachful 1 1
table[43]: isolation 0 5
table[46]: intimated 1 1
table[47]: hutton 2 1
table[50]: russian 26 1
table[56]: reay 0 2
table[61]: firmament 6 1
table[65]: cura 1 1
table[66]: curb 9 1
table[68]: curd 7 1
table[69]: cure 63 1
table[70]: gough's 0 1
table[71]: bestows 4 1
table[73]: enemy 174 1
table[74]: banning 0 3
table[75]: brazil 6 1
table[76]: curl 0 1
table[79]: afire 2 2
table[80]: iranian 0 1
table[82]: publish'd 3 1
table[83]: curs 13 1
table[84]: hunger 14 1
table[87]: bondslave 0 1
table[88]: political 77 1
table[89]: spalato 1 1
table[92]: hipp'd 1 1
table[96]: commotion's 0 2
table[97]: a 22945 1
table[98]: b 316 1
table[99]: c 830 1
table[100]: d 315 1
table[101]: e 531 1
table[102]: padua 47 1
table[103]: g 282 1
table[104]: h 273 1
table[105]: i 21201 1
table[106]: j 213 1
table[107]: castaways 0 1
table[108]: l 252 1
table[109]: m 466 1
table[110]: n 216 1
table[111]: o 2383 1
table[112]: p 363 1
table[113]: stump 0 1
table[114]: r 236 1
table[115]: s 361 1
table[116]: t 108 1
table[117]: u 76 1
table[118]: v 432 1
table[119]: w 280 1
table[120]: x 93 1
table[121]: y 36 1
table[122]: z 12 1
table[123]: troy's 0 1
table[126]: epistolary 0 4
table[127]: portuguese 20 1
table[128]: oppugnancy 0 1
table[129]: unpolluted 0 2
table[131]: prick'd 14 1
